0x673a: X: 4765, Y: 713, Z: 2705
0x673a: X: 4757, Y: 657, Z: 2682
0x673a: X: 6143, Y: 1613, Z: 6825
0x673a: X: 9077, Y: 3446, Z: 5017
0x673a: X: 9031, Y: 3489, Z: 5179
0x673a: X: 8986, Y: 3441, Z: 5195
0x673a: X: 5789, Y: 9019, Z: -3246
0x673a: X: 9055, Y: 3506, Z: 5205
0x673a: X: 9007, Y: 3436, Z: 5244
0x673a: X: 9114, Y: 3394, Z: 5000
0x673a: X: 9089, Y: 3443, Z: 5041
0x673a: X: 4761, Y: 676, Z: 2744
0x673a: X: 4748, Y: 671, Z: 2735
0x673a: X: 4754, Y: 704, Z: 2729
0x673a: X: 4731, Y: 720, Z: 2710
0x673a: X: 4730, Y: 703, Z: 2729
0x673a: X: 4172, Y: 1427, Z: -479
0x673a: X: 4712, Y: 698, Z: 2765
0x673a: X: 4772, Y: 707, Z: 2743
0x673a: X: 4774, Y: 724, Z: 2718
0x673a: X: 4754, Y: 704, Z: 2729
0x673a: X: 4716, Y: 716, Z: 2743
0x673a: X: 4772, Y: 707, Z: 2743
0x673a: X: 4739, Y: 716, Z: 2744
0x673a: X: 4745, Y: 671, Z: 2785
0x673a: X: 4758, Y: 719, Z: 2749
0x673a: X: 4761, Y: 676, Z: 2744
0x673a: X: 4724, Y: 729, Z: 2765
0x673a: X: 4758, Y: 719, Z: 2749
0x673a: X: 4744, Y: 749, Z: 2747
0x673a: X: 4730, Y: 703, Z: 2729
0x673a: X: 4745, Y: 691, Z: 2765
0x673a: X: 4725, Y: 708, Z: 2735
0x673a: X: 4755, Y: 699, Z: 2688
0x673a: X: 4762, Y: 679, Z: 2748
0x673a: X: 4766, Y: 653, Z: 2713
0x673a: X: 6798, Y: 1388, Z: 4271
0x673a: X: 6864, Y: 1417, Z: 4190
0x673a: X: 6875, Y: 1360, Z: 4157
0x673a: X: 6824, Y: 1382, Z: 4228
0x673a: X: 6898, Y: 1428, Z: 4037
0x673a: X: 6810, Y: 1367, Z: 4294
0x673a: X: 6868, Y: 1344, Z: 4106
0x673a: X: 6909, Y: 1374, Z: 4005
0x673a: X: 6879, Y: 1374, Z: 4023
0x673a: X: 4700, Y: 758, Z: 2707
0x673a: X: 4740, Y: 669, Z: 2735
0x673a: X: 4714, Y: 728, Z: 2711
0x673a: X: 4742, Y: 744, Z: 2737
0x673a: X: 4034, Y: 1347, Z: -548
0x673a: X: 4742, Y: 685, Z: 2757
0x673a: X: 4731, Y: 655, Z: 2711
0x673a: X: 4727, Y: 699, Z: 2718
0x673a: X: 4694, Y: 724, Z: 2753
0x673a: X: 4703, Y: 677, Z: 2798
0x673a: X: 4753, Y: 678, Z: 2698
0x673a: X: 4746, Y: 679, Z: 2742
0x673a: X: 4734, Y: 674, Z: 2740
0x673a: X: 4338, Y: 1230, Z: -227
0x673a: X: 4709, Y: 674, Z: 2735
0x673a: X: 4250, Y: 1228, Z: -370
0x673a: X: 4235, Y: 1270, Z: -370
0x673a: X: 4755, Y: 694, Z: 2718
0x673a: X: 4734, Y: 674, Z: 2740
0x673a: X: 4697, Y: 681, Z: 2804
0x673a: X: 4125, Y: 1426, Z: -545
0x673a: X: 4198, Y: 1312, Z: -437
0x673a: X: 4198, Y: 1312, Z: -437
0x673a: X: 4708, Y: 658, Z: 2707
0x673a: X: 4697, Y: 686, Z: 2749
0x673a: X: 4648, Y: 651, Z: 2733
0x673a: X: 4245, Y: 1268, Z: -285
0x673a: X: 4695, Y: 687, Z: 2704
0x673a: X: 4680, Y: 700, Z: 2716
0x673a: X: 4708, Y: 658, Z: 2707
0x673a: X: 4702, Y: 752, Z: 2672
0x673a: X: 4703, Y: 678, Z: 2699
0x673a: X: 4717, Y: 665, Z: 2683
0x673a: X: 4735, Y: 718, Z: 2751
0x673a: X: 4730, Y: 703, Z: 2729
0x673a: X: 4746, Y: 689, Z: 2759
0x673a: X: 4696, Y: 713, Z: 2740
0x673a: X: 4745, Y: 691, Z: 2713
0x673a: X: 4742, Y: 732, Z: 2720
0x673a: X: 4722, Y: 685, Z: 2748
0x673a: X: 4731, Y: 701, Z: 2770
0x673a: X: 4731, Y: 720, Z: 2710
0x673a: X: 4092, Y: 1352, Z: -565
0x673a: X: 4235, Y: 1286, Z: -397
0x673a: X: 4783, Y: 698, Z: 2724
0x673a: X: 4753, Y: 665, Z: 2727
0x673a: X: 4377, Y: 1218, Z: -129
0x673a: X: 4117, Y: 1368, Z: -523
0x673a: X: 4282, Y: 1287, Z: -325
0x673a: X: 4728, Y: 680, Z: 2702
0x673a: X: 4749, Y: 708, Z: 2735
0x673a: X: 4749, Y: 649, Z: 2703
0x673a: X: 4716, Y: 716, Z: 2743
0x673a: X: 4731, Y: 701, Z: 2770
0x673a: X: 4723, Y: 695, Z: 2716
0x673a: X: 4707, Y: 705, Z: 2726
0x673a: X: 4712, Y: 679, Z: 2700
0x673a: X: 4695, Y: 733, Z: 2715
0x673a: X: 4127, Y: 1396, Z: -494
0x673a: X: 4232, Y: 1356, Z: -363
0x673a: X: 4741, Y: 696, Z: 2724
0x673a: X: 4707, Y: 705, Z: 2726
0x673a: X: 4736, Y: 670, Z: 2692
0x673a: X: 4731, Y: 638, Z: 2690
0x673a: X: 4759, Y: 669, Z: 2691
0x673a: X: 4745, Y: 680, Z: 2700
0x673a: X: 4716, Y: 665, Z: 2683
0x673a: X: 4706, Y: 657, Z: 2761
0x673a: X: 4687, Y: 690, Z: 2706
0x673a: X: 4730, Y: 694, Z: 2717
0x673a: X: 4694, Y: 629, Z: 2717
0x673a: X: 4727, Y: 678, Z: 2696
0x673a: X: 4725, Y: 637, Z: 2761
0x673a: X: 4732, Y: 650, Z: 2784
0x673a: X: 4755, Y: 649, Z: 2795
0x673a: X: 4271, Y: 1281, Z: -443
0x673a: X: 4705, Y: 634, Z: 2757
0x673a: X: 4744, Y: 676, Z: 2687
0x673a: X: 4743, Y: 659, Z: 2704
0x673a: X: 4712, Y: 685, Z: 2689
0x673a: X: 4773, Y: 633, Z: 2715
0x673a: X: 4146, Y: 1327, Z: -504
0x673a: X: 4733, Y: 721, Z: 2752
0x673a: X: 4726, Y: 724, Z: 2712
0x673a: X: 4740, Y: 669, Z: 2660
0x673a: X: 4221, Y: 1298, Z: -340
0x673a: X: 4745, Y: 685, Z: 2676
0x673a: X: 4781, Y: 692, Z: 2690
0x673a: X: 4282, Y: 1287, Z: -325
0x673a: X: 4721, Y: 692, Z: 2711
0x673a: X: 4755, Y: 699, Z: 2688
0x673a: X: 4273, Y: 1398, Z: -279
0x673a: X: 4068, Y: 1466, Z: -599
0x673a: X: 4698, Y: 729, Z: 2714
0x673a: X: 4717, Y: 670, Z: 2728
0x673a: X: 4703, Y: 686, Z: 2704
0x673a: X: 4716, Y: 716, Z: 2743
0x673a: X: 4709, Y: 683, Z: 2740
0x673a: X: 4735, Y: 678, Z: 2701
0x673a: X: 4721, Y: 690, Z: 2714
0x673a: X: 4735, Y: 718, Z: 2751
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4746, Y: 675, Z: 2724
0x673a: X: 4730, Y: 688, Z: 2695
0x673a: X: 4736, Y: 667, Z: 2757
0x673a: X: 4705, Y: 634, Z: 2757
0x673a: X: 4751, Y: 655, Z: 2744
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4740, Y: 642, Z: 2721
0x673a: X: 4725, Y: 655, Z: 2695
0x673a: X: 4725, Y: 655, Z: 2695
0x673a: X: 4254, Y: 1316, Z: -421
0x673a: X: 4751, Y: 655, Z: 2744
0x673a: X: 4765, Y: 642, Z: 2725
0x673a: X: 4743, Y: 655, Z: 2739
0x673a: X: 4765, Y: 640, Z: 2772
0x673a: X: 4728, Y: 671, Z: 2712
0x673a: X: 4721, Y: 698, Z: 2703
0x673a: X: 4726, Y: 655, Z: 2737
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4704, Y: 632, Z: 2751
0x673a: X: 4751, Y: 655, Z: 2744
0x673a: X: 4736, Y: 667, Z: 2757
0x673a: X: 4701, Y: 677, Z: 2768
0x673a: X: 4195, Y: 1297, Z: -380
0x673a: X: 4756, Y: 647, Z: 2694
0x673a: X: 4738, Y: 685, Z: 2737
0x673a: X: 4195, Y: 1297, Z: -380
0x673a: X: 4726, Y: 655, Z: 2737
0x673a: X: 4726, Y: 655, Z: 2737
0x673a: X: 4746, Y: 675, Z: 2724
0x673a: X: 4712, Y: 690, Z: 2706
0x673a: X: 4699, Y: 662, Z: 2677
0x673a: X: 4728, Y: 727, Z: 2713
0x673a: X: 4172, Y: 1291, Z: -314
0x673a: X: 4747, Y: 671, Z: 2689
0x673a: X: 4707, Y: 709, Z: 2693
0x673a: X: 4719, Y: 714, Z: 2696
0x673a: X: 4717, Y: 697, Z: 2713
0x673a: X: 4753, Y: 728, Z: 2721
0x673a: X: 4683, Y: 706, Z: 2721
0x673a: X: 4717, Y: 653, Z: 2796
0x673a: X: 4195, Y: 1297, Z: -380
0x673a: X: 4728, Y: 671, Z: 2712
0x673a: X: 4716, Y: 664, Z: 2748
0x673a: X: 4744, Y: 657, Z: 2741
0x673a: X: 4744, Y: 676, Z: 2687
0x673a: X: 4743, Y: 659, Z: 2704
0x673a: X: 4736, Y: 667, Z: 2757
0x673a: X: 4691, Y: 666, Z: 2700
0x673a: X: 4736, Y: 667, Z: 2757
0x673a: X: 4725, Y: 637, Z: 2761
0x673a: X: 4693, Y: 664, Z: 2744
0x673a: X: 4695, Y: 681, Z: 2723
0x673a: X: 4722, Y: 639, Z: 2717
0x673a: X: 4747, Y: 637, Z: 2763
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4740, Y: 642, Z: 2721
0x673a: X: 4746, Y: 675, Z: 2724
0x673a: X: 4698, Y: 698, Z: 2704
0x673a: X: 4770, Y: 675, Z: 2726
0x673a: X: 4710, Y: 668, Z: 2708
0x673a: X: 4725, Y: 655, Z: 2695
0x673a: X: 4685, Y: 691, Z: 2734
0x673a: X: 4208, Y: 1285, Z: -438
0x673a: X: 4767, Y: 719, Z: 2738
0x673a: X: 4731, Y: 652, Z: 2733
0x673a: X: 4728, Y: 671, Z: 2712
0x673a: X: 4710, Y: 668, Z: 2708
0x673a: X: 4208, Y: 1316, Z: -489
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4725, Y: 655, Z: 2695
0x673a: X: 4743, Y: 659, Z: 2704
0x673a: X: 4726, Y: 655, Z: 2737
0x673a: X: 4722, Y: 639, Z: 2717
0x673a: X: 4712, Y: 702, Z: 2675
0x673a: X: 4719, Y: 681, Z: 2727
0x673a: X: 4740, Y: 642, Z: 2721
0x673a: X: 4769, Y: 658, Z: 2752
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4730, Y: 688, Z: 2695
0x673a: X: 4725, Y: 655, Z: 2695
0x673a: X: 4693, Y: 664, Z: 2744
0x673a: X: 4693, Y: 664, Z: 2744
0x673a: X: 4700, Y: 687, Z: 2728
0x673a: X: 4497, Y: 636, Z: 2394
0x673a: X: 4724, Y: 629, Z: 2703
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4738, Y: 713, Z: 2786
0x673a: X: 4737, Y: 656, Z: 2798
0x673a: X: 4732, Y: 701, Z: 2762
0x673a: X: 4088, Y: 1336, Z: -512
0x673a: X: 4133, Y: 1400, Z: -549
0x673a: X: 4742, Y: 691, Z: 2744
0x673a: X: 4738, Y: 734, Z: 2757
0x673a: X: 4744, Y: 670, Z: 2767
0x673a: X: 4719, Y: 690, Z: 2735
0x673a: X: 4732, Y: 699, Z: 2815
0x673a: X: 4754, Y: 722, Z: 2736
0x673a: X: 4767, Y: 691, Z: 2746
0x673a: X: 4147, Y: 1296, Z: -450
0x673a: X: 4764, Y: 674, Z: 2776
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4253, Y: 1255, Z: -315
0x673a: X: 4755, Y: 661, Z: 2746
0x673a: X: 4242, Y: 1298, Z: -308
0x673a: X: 4739, Y: 675, Z: 2723
0x673a: X: 4732, Y: 701, Z: 2762
0x673a: X: 4732, Y: 701, Z: 2762
0x673a: X: 4724, Y: 688, Z: 2740
0x673a: X: 4712, Y: 717, Z: 2728
0x673a: X: 4694, Y: 655, Z: 2731
0x673a: X: 4732, Y: 701, Z: 2762
0x673a: X: 4725, Y: 708, Z: 2735
0x673a: X: 4725, Y: 697, Z: 2655
0x673a: X: 4176, Y: 1297, Z: -409
0x673a: X: 4753, Y: 683, Z: 2705
0x673a: X: 4325, Y: 1289, Z: -255
0x673a: X: 4712, Y: 694, Z: 2677
0x673a: X: 4729, Y: 682, Z: 2704
0x673a: X: 4735, Y: 680, Z: 2700
0x673a: X: 4715, Y: 695, Z: 2717
0x673a: X: 4745, Y: 685, Z: 2676
0x673a: X: 4100, Y: 1265, Z: -467
0x673a: X: 4692, Y: 661, Z: 2744
0x673a: X: 4687, Y: 646, Z: 2721
0x673a: X: 4693, Y: 664, Z: 2744
0x673a: X: 4208, Y: 1316, Z: -489
0x673a: X: 4740, Y: 702, Z: 2710
0x673a: X: 4706, Y: 711, Z: 2718
0x673a: X: 4716, Y: 701, Z: 2707
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4088, Y: 1336, Z: -512
0x673a: X: 4757, Y: 691, Z: 2706
0x673a: X: 4752, Y: 658, Z: 2705
0x673a: X: 4193, Y: 1347, Z: -469
0x673a: X: 4754, Y: 678, Z: 2688
0x673a: X: 4742, Y: 686, Z: 2736
0x673a: X: 4741, Y: 691, Z: 2701
0x673a: X: 4755, Y: 657, Z: 2744
0x673a: X: 4748, Y: 686, Z: 2735
0x673a: X: 4736, Y: 639, Z: 2764
0x673a: X: 4320, Y: 602, Z: 2308
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4721, Y: 636, Z: 2711
0x673a: X: 4701, Y: 677, Z: 2768
0x673a: X: 4728, Y: 671, Z: 2712
0x673a: X: 4728, Y: 631, Z: 2813
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4751, Y: 655, Z: 2744
0x673a: X: 4740, Y: 642, Z: 2721
0x673a: X: 4724, Y: 687, Z: 2663
0x673a: X: 4689, Y: 649, Z: 2723
0x673a: X: 4716, Y: 664, Z: 2748
0x673a: X: 4758, Y: 659, Z: 2710
0x673a: X: 4710, Y: 631, Z: 2757
0x673a: X: 4721, Y: 698, Z: 2703
0x673a: X: 4710, Y: 668, Z: 2708
0x673a: X: 4725, Y: 652, Z: 2735
0x673a: X: 4088, Y: 1336, Z: -512
0x673a: X: 4728, Y: 634, Z: 2763
0x673a: X: 4267, Y: 1330, Z: -322
0x673a: X: 4741, Y: 685, Z: 2709
0x673a: X: 4742, Y: 701, Z: 2693
0x673a: X: 4728, Y: 669, Z: 2691
0x673a: X: 4756, Y: 687, Z: 2680
0x673a: X: 4391, Y: 644, Z: 2314
0x673a: X: 4759, Y: 688, Z: 2717
0x673a: X: 4708, Y: 694, Z: 2714
0x673a: X: 4742, Y: 701, Z: 2693
0x673a: X: 4742, Y: 701, Z: 2693
0x673a: X: 4771, Y: 646, Z: 2733
0x673a: X: 4724, Y: 688, Z: 2740
0x673a: X: 4726, Y: 686, Z: 2784
0x673a: X: 4705, Y: 683, Z: 2774
0x673a: X: 4732, Y: 661, Z: 2745
0x673a: X: 4721, Y: 667, Z: 2814
0x673a: X: 4719, Y: 690, Z: 2735
0x673a: X: 4195, Y: 1297, Z: -380
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4747, Y: 666, Z: 2712
0x673a: X: 4135, Y: 1337, Z: -445
0x673a: X: 4193, Y: 1328, Z: -437
0x673a: X: 4726, Y: 672, Z: 2678
0x673a: X: 4728, Y: 694, Z: 2749
0x673a: X: 4722, Y: 653, Z: 2695
0x673a: X: 4710, Y: 668, Z: 2708
0x673a: X: 4727, Y: 669, Z: 2715
0x673a: X: 4706, Y: 649, Z: 2725
0x673a: X: 4702, Y: 713, Z: 2720
0x673a: X: 4196, Y: 1267, Z: -326
0x673a: X: 4736, Y: 667, Z: 2757
0x673a: X: 4209, Y: 1340, Z: -543
0x673a: X: 4753, Y: 729, Z: 2711
0x673a: X: 4239, Y: 1380, Z: -454
0x673a: X: 4739, Y: 706, Z: 2767
0x673a: X: 4743, Y: 664, Z: 2755
0x673a: X: 4808, Y: 681, Z: 2789
0x673a: X: 4742, Y: 703, Z: 2810
0x673a: X: 4760, Y: 688, Z: 2801
0x673a: X: 4772, Y: 696, Z: 2756
0x673a: X: 4726, Y: 697, Z: 2793
0x673a: X: 4712, Y: 676, Z: 2823
0x673a: X: 4695, Y: 691, Z: 2794
0x673a: X: 4714, Y: 696, Z: 2747
0x673a: X: 4052, Y: 1362, Z: -546
0x673a: X: 4694, Y: 693, Z: 2786
0x673a: X: 4729, Y: 682, Z: 2778
0x673a: X: 4038, Y: 1435, Z: -592
0x673a: X: 4717, Y: 713, Z: 2721
0x673a: X: 4660, Y: 700, Z: 2800
0x673a: X: 4052, Y: 1296, Z: -601
0x673a: X: 4754, Y: 722, Z: 2736
0x673a: X: 4185, Y: 1339, Z: -373
0x673a: X: 4747, Y: 666, Z: 2712
0x673a: X: 4717, Y: 653, Z: 2796
0x673a: X: 4748, Y: 688, Z: 2737
0x673a: X: 4724, Y: 688, Z: 2740
0x673a: X: 4147, Y: 1296, Z: -450
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4749, Y: 724, Z: 2738
0x673a: X: 4783, Y: 693, Z: 2725
0x673a: X: 4797, Y: 704, Z: 2700
0x673a: X: 4798, Y: 720, Z: 2683
0x673a: X: 4777, Y: 711, Z: 2707
0x673a: X: 4774, Y: 635, Z: 2695
0x673a: X: 4353, Y: 1286, Z: -257
0x673a: X: 4746, Y: 692, Z: 2684
0x673a: X: 4761, Y: 665, Z: 2690
0x673a: X: 4759, Y: 662, Z: 2686
0x673a: X: 4763, Y: 680, Z: 2675
0x673a: X: 4738, Y: 656, Z: 2738
0x673a: X: 4751, Y: 644, Z: 2726
0x673a: X: 4770, Y: 661, Z: 2712
0x673a: X: 4794, Y: 679, Z: 2784
0x673a: X: 4772, Y: 696, Z: 2756
0x673a: X: 4751, Y: 676, Z: 2774
0x673a: X: 4086, Y: 1421, Z: -661
0x673a: X: 4762, Y: 706, Z: 2765
0x673a: X: 4751, Y: 676, Z: 2774
0x673a: X: 4785, Y: 698, Z: 2759
0x673a: X: 4782, Y: 709, Z: 2777
0x673a: X: 4732, Y: 701, Z: 2762
0x673a: X: 4729, Y: 721, Z: 2734
0x673a: X: 4726, Y: 672, Z: 2678
0x673a: X: 4718, Y: 619, Z: 2735
0x673a: X: 4693, Y: 678, Z: 2718
0x673a: X: 4708, Y: 670, Z: 2673
